@id,accessScheme,contentType,parentPid,publishScheme,title,hasData_@id,hasData_checksum_checksumValue,hasData_fileLabel,hasData_format,hasData_size,isDescribedBy_created,isDescribedBy_createdBy,isDescribedBy_lastModifiedBy,isDescribedBy_modified
frl:6472968,public,file,frl:6472967,public,"['Worldwide trends in esophageal cancer \nsurvival, by sub-site, morphology, and sex: an analysis of 696,974 \nadults diagnosed in 60 countries during 2000-2014 (CONCORD-3)']",frl:6472968/data,87e0ac73fc6b096da93f54880fe7316c,Matz-et-al_2023_Worldwide trends in esophageal cancer survival.pdf,application/pdf,4082414,2024-01-19T12:19:09.917+0100,266,317,2024-01-22T08:58:59.142+0100
frl:6472970,public,file,frl:6472969,public,['The effects of hypothetical behavioral interventions on the 13-year incidence of overweight/obesity in children and adolescents'],frl:6472970/data,e5a0750a32085b2a6861f19c387ac038,Börnhorst-et-al_2023_The effects of hypothetical behavioral.pdf,application/pdf,1466393,2024-01-19T12:47:50.668+0100,266,317,2024-01-22T09:01:13.003+0100
frl:6472972,public,file,frl:6472971,public,['Genetically determined circulating resistin concentrations and risk of colorectal cancer: A two-sample Mendelian randomization study'],frl:6472972/data,9f863ef18820da9337971a813f7286d6,Pham_et_al-2023-Genetically determined circulating resistin concentrations.pdf,application/pdf,1226181,2024-01-23T12:02:25.952+0100,266,317,2024-01-29T07:44:18.987+0100
frl:6472978,public,file,frl:6472977,public,"['35 Jahre Boden-Dauerbeobachtung landwirtschaftlich genutzter Flächen in Bayern, Band 2: Bodenphysik']",frl:6472978/data,e95e5d2611e25d46ef2485011d285f35,35-jahre-bdf-landwirtschaft-bodenphysik_lfl-schriftenreihe.pdf,application/pdf,5421185,2024-01-24T06:49:30.667+0100,19,19,2024-01-24T06:50:18.337+0100
frl:6472980,public,file,frl:6472979,public,['Gruber Tabelle zur Pferdefütterung'],frl:6472980/data,3ed0a6a030ba0b367a39d622888cc3ac,gruber-tabelle-pferdefuetterung_lfl-information.pdf,application/pdf,2195658,2024-01-24T07:08:08.242+0100,19,19,2024-01-24T07:09:11.369+0100
frl:6472982,public,file,frl:6472981,public,['Wirtschaftsdünger und Gewässerschutz'],frl:6472982/data,77ab643a2ddcced10721981f517b8257,wirtschaftsduenger_und_gewaesserschutz_lfl-lfu-information.pdf,application/pdf,3531059,2024-01-24T07:16:06.928+0100,19,19,2024-01-24T07:17:25.930+0100
frl:6472984,public,file,frl:6472983,public,"['35 Jahre Boden-Dauerbeobachtung landwirtschaftlich genutzter Flächen in Bayern, Band 3: Bodenschadstoffe']",frl:6472984/data,c63c8005c09ce31e4125208cadc29b76,35-jahre-bdf-landwirtschaft-bodenschadstoffe_lfl-schriftenreihe.pdf,application/pdf,12605386,2024-01-24T07:25:40.945+0100,19,19,2024-01-24T07:27:47.991+0100
frl:6472988,public,file,frl:6472987,public,['Präventionsangebote für Personen mit sexuellen Interessen an Kindern und ihre Wirkung'],frl:6472988/data,cabff5b4e06126ea06445be0838cea67,MERfZUJlcmljaHQucGRm.pdf,application/pdf,2053913,2024-01-25T12:02:14.684+0100,339,339,2024-03-21T11:31:43.765+0100
frl:6472992,public,file,frl:6472991,public,"['Secure, Controlled Use of Health Data']",frl:6472992/data,70b0a602edacce86f13f1060c0c576ad,20230816_IMPULS-Gesundheitsdatennutzung_en_final.pdf,application/pdf,542941,2024-01-26T07:32:18.256+0100,339,339,2024-03-12T09:01:07.921+0100
frl:6472998,public,file,frl:6472997,public,['Trends in cancer incidence by socioeconomic deprivation in Germany in 2007 to 2018: An ecological registry-based study'],frl:6472998/data,7c09da203b01db69831bd4ca6ec949a7,Jansen-et-al_2023_Trends in cancer incidence.pdf,application/pdf,1874950,2024-01-26T12:11:36.972+0100,266,317,2024-01-29T07:47:37.795+0100
frl:6473002,public,file,frl:6473001,public,['GrueneSchriftenreihe ; 282'],frl:6473002/data,dc29b4c0a6d220cd3822006dfe3e1e8e,GrueneSchriftenreihe282.pdf,application/pdf,2168460,2024-01-29T08:00:07.936+0100,20,20,2024-01-29T08:00:52.083+0100
frl:6473004,public,file,frl:6473003,public,['Klinikpartnerschaften wirken'],frl:6473004/data,d142e5862e5117e66b5da4f83962cd17,klinikpartnerschaften-wirken.pdf,application/pdf,2367282,2024-01-29T08:09:33.186+0100,339,339,2024-03-15T10:20:26.930+0100
frl:6473006,public,file,frl:6473005,public,['Grüne Schriftenreihe ; 283'],frl:6473006/data,ec5a6ec52a99a96df1ec098ca66abf29,BDGGrueneSchriftenreihe283.pdf,application/pdf,714177,2024-01-29T14:07:51.163+0100,20,20,2024-02-07T11:28:58.515+0100
